Date,Rain (mm),Max Temp (C),Min Temp (C),Mean Wind Speed (kt),Max 10-min Wind (kt),Wind Dir @ Max Wind (deg),Max Gust (kt),Evaporation (mm),Soil Moisture Deficit - Moderate (mm),Mean Pressure (hPa)
14-07-2010,9.8,19.9,12.5,5.9,11,90.0,17,,,989.2
15-07-2010,34.5,18.1,13.0,7.0,14,220.0,22,,,989.7
16-07-2010,4.1,16.2,11.5,9.0,13,290.0,21,,,998.6
17-07-2010,2.5,17.2,11.6,8.9,14,230.0,20,,,1010.5
18-07-2010,6.2,18.8,14.2,5.9,10,240.0,15,,,1010.4
19-07-2010,3.5,19.3,13.7,7.3,13,240.0,20,,,1007.7
20-07-2010,12.9,19.2,11.2,4.3,10,170.0,14,,,1003.2
21-07-2010,20.1,16.5,11.9,9.0,17,330.0,24,,,1001.8
22-07-2010,0.6,19.4,9.4,9.4,14,330.0,23,,,1010.5
23-07-2010,0.2,18.2,6.9,4.3,10,230.0,15,,,1016.5
24-07-2010,0.6,17.7,13.2,7.1,13,230.0,19,,,1014.3
25-07-2010,0.0,19.0,14.9,7.9,13,220.0,19,,,1015.3
26-07-2010,0.2,19.0,14.7,9.2,14,240.0,22,,,1014.7
27-07-2010,0.9,17.2,12.8,7.9,14,240.0,20,,,1013.6
28-07-2010,0.6,18.7,12.3,6.5,11,280.0,17,,,1015.0
29-07-2010,0.0,17.9,13.0,3.9,8,240.0,11,,,1013.3
30-07-2010,5.0,18.9,13.1,7.4,12,220.0,20,,,1008.1
31-07-2010,1.2,18.3,12.7,8.2,13,290.0,22,,,1006.9
01-08-2010,0.0,19.0,12.1,4.3,11,330.0,14,,,1011.2
02-08-2010,1.8,16.2,9.6,4.4,9,240.0,15,,,1013.8
03-08-2010,4.4,16.5,11.6,6.6,13,240.0,20,,,1008.0
04-08-2010,0.8,18.3,10.9,9.1,16,300.0,24,,,1006.7
05-08-2010,1.6,18.2,13.2,7.0,14,240.0,21,,,1006.5
06-08-2010,4.7,16.2,13.4,9.3,16,230.0,24,,,1003.6
07-08-2010,0.2,18.7,8.4,7.3,13,330.0,19,,,1011.8
08-08-2010,1.9,18.8,6.1,5.0,11,220.0,19,,,1013.3
09-08-2010,4.0,17.5,12.8,8.0,14,240.0,22,,,1006.2
10-08-2010,0.8,19.1,10.8,7.6,12,280.0,19,,,1005.7
11-08-2010,0.4,17.7,10.4,6.2,13,320.0,19,,,1012.1
12-08-2010,0.0,16.8,12.2,8.7,14,320.0,22,,,1018.3
13-08-2010,0.7,17.0,11.7,7.5,12,340.0,19,,,1020.8
14-08-2010,3.2,16.1,9.4,3.1,7,300.0,10,,,1019.2
15-08-2010,0.1,23.0,6.1,2.9,8,230.0,11,,,1020.3
16-08-2010,8.4,16.0,8.6,4.9,10,240.0,16,,,
17-08-2010,0.2,17.3,8.5,7.0,13,310.0,21,,,
18-08-2010,5.2,17.2,9.7,8.4,17,230.0,27,,,
19-08-2010,5.2,17.6,11.7,6.3,11,80.0,17,,,997.5
20-08-2010,2.2,18.6,13.1,11.3,20,230.0,34,,,999.7
21-08-2010,7.1,18.9,11.1,8.1,16,220.0,23,,,1008.4
22-08-2010,2.0,18.6,10.2,5.8,12,240.0,19,,,1004.2
23-08-2010,5.4,17.0,11.3,9.1,18,270.0,27,,,996.6
24-08-2010,0.1,17.4,6.3,8.8,17,270.0,25,,,1003.9
25-08-2010,0.0,17.6,4.9,4.8,9,90.0,15,,,1006.7
26-08-2010,0.0,19.2,5.1,5.4,9,50.0,17,,,1005.2
27-08-2010,0.0,18.1,6.8,5.3,12,280.0,16,,,1012.0
28-08-2010,0.1,18.6,7.5,8.0,15,290.0,20,,,1018.8
29-08-2010,0.4,17.1,6.4,8.0,14,350.0,22,,,1019.3
30-08-2010,0.0,17.8,1.8,3.1,7,30.0,11,,,1022.1
31-08-2010,0.0,20.1,5.8,5.1,9,110.0,15,,,1018.3
01-09-2010,0.0,20.9,9.9,5.9,11,120.0,18,,,1014.2
02-09-2010,0.0,22.6,10.5,6.6,11,120.0,17,,,1013.2
03-09-2010,0.0,22.4,10.0,7.4,11,100.0,18,,,1011.5
04-09-2010,1.3,20.2,12.5,5.4,12,100.0,18,,,1009.5
05-09-2010,2.7,19.1,10.4,7.9,15,110.0,25,,,1001.8
06-09-2010,32.6,17.3,13.0,4.7,13,120.0,21,,,992.2
07-09-2010,7.9,16.8,12.5,6.1,14,230.0,21,,,989.5
08-09-2010,9.9,17.3,12.5,7.6,15,230.0,22,,,997.0
09-09-2010,19.2,18.0,12.6,7.0,13,210.0,19,,,1006.3
10-09-2010,4.7,18.3,13.2,6.7,15,220.0,22,,,1003.7
11-09-2010,11.6,16.8,9.5,6.5,14,280.0,43,,,1009.2
12-09-2010,0.2,16.1,6.2,6.9,15,230.0,22,,,1018.6
13-09-2010,16.5,17.5,14.0,14.6,23,220.0,37,,,1013.8
14-09-2010,5.2,16.3,10.5,11.5,20,270.0,31,,,1009.8
15-09-2010,0.0,16.6,10.0,10.6,17,300.0,27,,,1009.8
16-09-2010,4.1,16.4,8.1,5.1,11,290.0,17,,,1012.5
17-09-2010,0.1,15.0,6.0,4.2,9,320.0,13,,,1016.0
18-09-2010,4.0,14.7,7.3,8.2,16,210.0,25,,,1012.0
19-09-2010,8.6,17.4,13.1,8.5,16,240.0,23,,,1004.5
20-09-2010,0.3,18.6,12.7,8.0,15,230.0,22,,,1004.7
21-09-2010,2.0,18.5,12.8,8.1,12,170.0,22,,,1006.3
22-09-2010,14.9,18.4,12.6,5.8,13,230.0,20,,,1003.2
23-09-2010,4.4,14.1,11.1,10.1,17,320.0,24,,,1003.8
24-09-2010,0.0,14.4,7.6,7.5,12,0.0,20,,,1012.2
25-09-2010,0.0,12.6,7.5,3.1,7,30.0,12,,,1017.8
26-09-2010,0.0,11.7,7.6,4.0,8,170.0,12,,,1013.5
27-09-2010,0.0,16.0,7.2,7.3,11,100.0,17,,,1008.4
28-09-2010,3.5,15.2,4.8,4.6,8,180.0,17,,,1006.2
29-09-2010,0.4,16.4,4.8,4.3,11,230.0,16,,,1007.8
30-09-2010,0.9,16.2,8.8,6.4,12,140.0,18,,,998.5
01-10-2010,4.3,14.2,8.6,10.6,19,250.0,32,,,987.1
02-10-2010,0.7,14.4,9.4,7.5,14,180.0,22,,,988.1
03-10-2010,0.1,16.3,6.3,6.0,15,240.0,21,,,988.2
04-10-2010,2.1,14.9,7.5,10.0,19,170.0,32,,,986.8
05-10-2010,4.3,14.3,7.5,10.1,18,220.0,29,,,985.7
06-10-2010,1.5,15.2,6.8,7.8,15,230.0,23,,,995.1
07-10-2010,0.4,17.2,10.5,11.0,19,140.0,26,,,1002.6
08-10-2010,0.1,19.3,13.3,11.3,18,90.0,27,,,1002.5
09-10-2010,0.0,17.4,12.8,12.4,17,70.0,26,,,1006.6
10-10-2010,0.0,13.6,9.4,7.6,12,80.0,18,,,1011.0
11-10-2010,0.1,17.6,7.0,5.3,10,60.0,15,,,
12-10-2010,0.2,16.2,3.3,3.2,6,70.0,10,,,
13-10-2010,0.1,9.0,2.9,2.8,5,40.0,8,,,1019.0
14-10-2010,0.0,11.2,7.8,2.7,5,310.0,10,,,1020.2
15-10-2010,1.2,15.4,7.2,5.7,12,290.0,18,,,1019.5
16-10-2010,0.2,14.0,1.7,2.6,6,60.0,9,,,1020.8
17-10-2010,1.2,13.9,1.1,5.3,13,230.0,21,,,1020.8
18-10-2010,0.5,13.4,8.3,7.7,15,270.0,23,,,1016.1
19-10-2010,1.7,12.3,2.3,6.9,17,310.0,26,,,1014.9
20-10-2010,1.5,11.0,-1.4,3.8,9,210.0,16,,,1019.4
21-10-2010,0.5,12.9,1.2,4.8,12,240.0,18,,,1016.3
22-10-2010,6.9,11.8,3.2,6.1,13,210.0,20,,,1007.3
23-10-2010,8.3,12.5,3.1,5.4,10,300.0,19,,,1004.2
24-10-2010,0.0,11.1,-3.1,2.6,7,10.0,10,,,1015.7
25-10-2010,0.8,11.5,-0.8,8.3,15,180.0,25,,,1015.3
26-10-2010,11.6,15.9,11.5,11.9,17,220.0,28,,,1004.8
27-10-2010,4.5,12.8,7.5,9.6,19,220.0,36,,,1003.6
28-10-2010,3.1,14.7,6.9,10.7,18,180.0,30,,,995.6
29-10-2010,15.5,12.0,6.6,6.5,15,190.0,24,,,983.3
30-10-2010,0.4,13.0,4.8,4.6,8,190.0,12,,,986.4
31-10-2010,0.1,10.9,1.0,5.3,9,10.0,14,,,999.2
01-11-2010,4.1,13.8,0.8,9.4,21,230.0,35,,,1003.7
02-11-2010,17.3,13.3,10.1,15.2,25,230.0,41,,,996.4
03-11-2010,8.1,14.6,8.9,8.2,24,230.0,35,,,1001.5
04-11-2010,8.8,14.9,10.8,15.6,23,230.0,38,,,1006.4
05-11-2010,8.0,11.6,6.7,7.0,12,230.0,18,,,1013.0
06-11-2010,3.2,8.9,0.6,5.1,12,320.0,17,,,1013.2
07-11-2010,10.9,8.5,-0.8,9.0,21,180.0,34,,,990.2
08-11-2010,6.5,10.4,4.7,6.3,13,10.0,22,,,962.2
09-11-2010,0.4,9.3,-0.2,9.0,16,10.0,28,,,981.4
10-11-2010,2.6,8.5,-3.6,6.2,16,160.0,26,,,987.8
11-11-2010,6.8,12.2,6.6,20.7,31,240.0,53,,,975.9
12-11-2010,4.4,10.3,4.8,8.9,19,260.0,32,,,984.2
13-11-2010,9.8,5.8,-0.4,4.1,11,190.0,17,,,983.7
14-11-2010,0.2,8.3,-3.0,3.1,10,150.0,16,,,991.8
15-11-2010,1.6,9.5,0.3,3.5,9,290.0,15,,,1005.3
16-11-2010,8.4,9.6,4.5,11.1,21,120.0,36,,,998.1
17-11-2010,8.6,10.0,6.3,12.2,19,150.0,29,,,982.6
18-11-2010,8.9,10.0,4.9,10.3,18,240.0,27,,,989.2
19-11-2010,0.4,9.7,2.5,5.0,9,70.0,12,,,1001.8
20-11-2010,0.0,8.9,4.4,6.5,11,60.0,15,,,1009.6
21-11-2010,0.0,6.6,-0.7,5.7,9,20.0,16,,,1013.5
22-11-2010,0.0,6.7,-4.0,2.9,8,20.0,12,,,
23-11-2010,0.1,6.5,-4.6,1.6,5,320.0,7,,,
24-11-2010,0.5,5.4,-0.9,3.9,9,320.0,14,,,1011.2
25-11-2010,2.9,5.7,-2.2,6.8,10,270.0,16,,,1012.8
26-11-2010,4.2,5.0,-0.4,7.2,12,340.0,19,,,1007.0
27-11-2010,0.4,1.7,-2.2,6.0,10,350.0,16,,,1006.2
28-11-2010,0.0,-1.1,-7.5,2.0,6,340.0,8,,,1004.2
29-11-2010,0.0,-1.7,-6.4,2.7,6,50.0,9,,,1010.2
30-11-2010,3.0,1.4,-4.0,7.4,14,40.0,22,,,1014.5
01-12-2010,0.0,-0.7,-5.7,6.7,9,0.0,15,,,1014.0
02-12-2010,0.0,-1.8,-10.1,4.6,9,0.0,13,,,1012.9
03-12-2010,0.0,4.3,-9.0,5.1,10,190.0,17,,,1004.1
04-12-2010,2.0,2.3,-6.3,2.1,5,10.0,7,,,999.8
05-12-2010,0.0,3.7,-6.3,2.1,7,310.0,9,,,1002.5
06-12-2010,1.5,1.4,-6.4,4.5,11,10.0,17,,,997.4
07-12-2010,0.0,1.6,-5.2,6.0,9,10.0,15,,,1004.5
08-12-2010,0.0,2.3,-6.6,4.4,8,320.0,10,,,1018.1
09-12-2010,0.0,5.9,-5.4,2.7,7,250.0,12,,,1028.3
10-12-2010,0.0,8.1,2.2,3.2,6,220.0,9,,,1029.3
11-12-2010,0.4,5.5,-1.9,2.3,7,60.0,10,,,1024.4
12-12-2010,0.0,3.9,-2.8,5.0,12,80.0,15,,,1019.8
13-12-2010,0.0,4.4,-1.8,5.4,9,100.0,13,,,1023.6
14-12-2010,0.0,5.1,-2.7,3.6,6,60.0,9,,,1033.1
15-12-2010,0.2,5.7,2.8,4.0,8,230.0,11,,,1033.9
16-12-2010,1.7,8.3,-2.2,9.2,20,330.0,30,,,1017.9
17-12-2010,2.2,1.5,-2.7,6.1,11,290.0,16,,,998.0
18-12-2010,0.4,-1.5,-7.8,4.3,8,90.0,12,,,988.0
19-12-2010,0.0,-2.0,-8.9,6.3,10,70.0,15,,,991.1
20-12-2010,0.1,-5.3,-13.8,2.3,6,60.0,10,,,997.4
21-12-2010,0.0,-4.2,-13.6,2.4,6,50.0,9,,,1001.9
22-12-2010,0.0,-5.7,-15.8,1.1,3,350.0,6,,,1008.4
23-12-2010,0.2,-2.4,-13.6,0.9,4,350.0,5,,,1015.8
24-12-2010,0.0,-4.7,-14.9,0.3,1,20.0,2,,,1021.3
25-12-2010,0.0,-2.5,-14.5,2.1,7,80.0,9,,,1022.3
26-12-2010,7.4,6.9,-3.8,11.6,16,150.0,28,,,1009.4
27-12-2010,9.4,9.5,6.8,8.1,15,150.0,27,,,996.0
28-12-2010,0.2,11.5,5.6,6.4,11,180.0,17,,,999.5
29-12-2010,6.6,10.4,5.9,6.6,11,190.0,16,,,1009.1
30-12-2010,0.0,8.8,6.7,5.9,10,80.0,14,,,1017.4
31-12-2010,0.0,7.5,5.0,2.3,5,80.0,8,,,1021.8
01-01-2011,0.2,7.9,1.6,3.5,7,300.0,11,,,1024.5
02-01-2011,0.0,2.7,-0.1,3.5,7,20.0,13,,,1025.6
03-01-2011,0.0,2.7,-3.8,2.6,5,50.0,7,,,1018.5
04-01-2011,8.8,6.5,-1.5,8.3,18,210.0,27,,,1003.3
05-01-2011,0.2,7.4,-2.8,5.4,17,240.0,30,,,990.6
06-01-2011,0.0,4.0,-4.2,3.4,9,10.0,15,,,993.6
07-01-2011,0.0,1.1,-4.0,7.3,11,0.0,16,,,992.3
08-01-2011,1.4,5.7,-6.3,6.8,19,240.0,31,,,993.9
09-01-2011,0.0,5.8,-4.7,4.1,7,200.0,15,,,1002.8
10-01-2011,6.0,7.8,2.1,5.9,15,320.0,20,,,994.7
11-01-2011,15.2,8.0,0.1,6.9,14,310.0,21,,,1000.4
12-01-2011,9.4,11.3,7.9,8.9,16,230.0,25,,,998.1
13-01-2011,4.6,11.2,8.4,7.4,15,240.0,27,,,997.1
14-01-2011,11.2,10.1,6.1,11.2,18,230.0,30,,,995.9
15-01-2011,39.8,12.1,8.6,16.2,23,200.0,37,,,991.5
16-01-2011,3.4,10.9,3.9,11.6,18,210.0,28,,,1000.9
17-01-2011,1.0,8.1,-3.0,2.8,11,260.0,19,,,1015.1
18-01-2011,0.0,7.2,-4.1,2.3,6,240.0,8,,,1025.4
19-01-2011,0.0,6.3,-4.2,3.2,6,150.0,9,,,1030.4
20-01-2011,0.0,3.7,-3.6,4.1,7,90.0,9,,,1033.4
21-01-2011,0.0,5.6,-4.9,2.0,4,340.0,5,,,1036.7
22-01-2011,0.0,3.4,-4.5,2.9,6,50.0,9,,,1037.9
23-01-2011,0.0,2.3,-2.0,1.5,4,330.0,6,,,1036.9
24-01-2011,0.4,6.8,-0.2,3.6,7,250.0,11,,,1031.4
25-01-2011,1.4,9.3,5.4,7.7,14,320.0,21,,,1019.3
26-01-2011,0.0,8.2,1.3,7.5,11,340.0,19,,,1013.8
27-01-2011,0.0,5.5,-0.6,6.2,10,80.0,15,,,1018.8
28-01-2011,0.0,4.4,-4.1,2.8,6,320.0,11,,,1021.0
29-01-2011,0.0,3.8,-0.6,3.3,6,80.0,9,,,1020.8
30-01-2011,0.0,4.6,0.1,4.6,9,190.0,12,,,1019.8
31-01-2011,7.8,9.7,-0.3,8.2,14,230.0,22,,,1015.7
01-02-2011,1.3,9.7,6.0,9.5,17,230.0,26,,,1015.4
02-02-2011,5.8,11.2,3.8,14.5,23,240.0,36,,,1009.4
03-02-2011,6.5,10.1,2.2,14.8,31,220.0,46,,,1006.4
04-02-2011,13.9,12.0,7.1,22.8,31,220.0,48,,,999.3
05-02-2011,15.9,8.8,6.2,5.1,15,230.0,22,,,1002.8
06-02-2011,37.8,9.4,5.6,4.4,13,150.0,21,,,1000.6
07-02-2011,7.0,10.6,-0.2,9.8,22,310.0,34,,,1000.0
08-02-2011,1.0,10.2,-1.2,7.0,15,150.0,24,,,1007.0
09-02-2011,7.8,9.9,2.1,4.8,9,170.0,13,,,1003.7
10-02-2011,0.1,8.1,-0.5,4.8,11,110.0,15,,,1003.1
11-02-2011,3.0,11.0,1.4,5.8,13,240.0,18,,,1000.7
12-02-2011,2.6,8.2,0.3,7.9,18,140.0,28,,,996.8
13-02-2011,4.8,7.3,0.6,2.5,11,180.0,17,,,988.0
14-02-2011,2.5,5.8,1.1,6.0,14,230.0,24,,,987.0
15-02-2011,5.2,6.4,1.3,9.0,14,70.0,23,,,977.3
16-02-2011,0.0,8.9,-0.9,6.1,12,90.0,16,,,984.7
17-02-2011,0.0,5.9,0.1,4.0,7,70.0,9,,,996.9
18-02-2011,3.7,8.9,1.4,6.8,13,120.0,21,,,996.8
19-02-2011,0.5,12.0,4.0,5.6,9,180.0,14,,,998.4
20-02-2011,5.7,11.8,6.0,7.9,14,140.0,23,,,1000.2
21-02-2011,0.7,12.7,3.1,3.3,7,240.0,11,,,1003.3
22-02-2011,5.2,10.8,7.0,6.0,12,230.0,18,,,1005.5
